altura
8.4
10.3
12.4
9.7
8.6
9.3
11.1
8.1
10
11.8
9.8
8.4
9.6
10.6
8.5
9.9
12.3
9.9
9.7
10.3
11.6
8.6
10.6
12.5
10.4
9.9
10.5
10.9
8.5
10.2
12.2
10.4
9.5
10.2
11.4
